unique_id;mean;std;min;25%;50%;75%;max
SKU_01;61,26928605654049;48,560400465830526;0,0;15,0;53,0;102,0;242,0
SKU_02;47,151340996168585;35,63933275761967;0,0;11,0;51,0;75,0;406,0
SKU_03;40,243890752275995;35,62350304407072;0,0;8,0;37,0;61,0;381,0
SKU_04;81,44875478927203;55,58240025747022;0,0;22,0;88,0;126,0;257,0
