unique_id,mae,mse,rmse,r2,model,datetime
SKU_01,153.29406715326442,36639.00921109484,191.4131897521559,-0.29904112178035613,Linear,2024-10-31 18:12:53
SKU_02,192.05594636380297,56224.93060756585,237.117967702926,-0.07405643972432996,Linear,2024-10-31 18:12:53
SKU_03,44.95176272156127,3176.1923211035123,56.35771749373383,-0.12857929334286644,Linear,2024-10-31 18:12:53
SKU_04,30.018298682910988,1520.1597846750833,38.98922652060545,-0.04697377705925465,Linear,2024-10-31 18:12:53
SKU_05,480.30100488030735,295526.54084641254,543.623528598986,-0.3842340926706582,Linear,2024-10-31 18:12:53
SKU_06,25.016254330041104,915.3224851975044,30.254296970802418,-0.3022571645473664,Linear,2024-10-31 18:12:53
SKU_07,511.74420970295284,358960.9455594285,599.1334956079726,-1.5068938275523989,Linear,2024-10-31 18:12:53
SKU_08,50.10915982239065,3082.8667518193242,55.523569336087576,-0.8343894585698242,Linear,2024-10-31 18:12:53
SKU_09,42.72996031319728,2683.235403153835,51.79995562887902,-0.012784273949389746,Linear,2024-10-31 18:12:53
SKU_10,12.881720633672817,251.96693305682305,15.873466321406394,-0.5776596551019615,Linear,2024-10-31 18:12:53
SKU_11,381.61647518134924,184953.6835879858,430.06241824645156,-1.195377853936903,Linear,2024-10-31 18:12:53
SKU_12,50.36860792324905,3668.3289153748738,60.56673109368602,-0.03990205738339325,Linear,2024-10-31 18:12:53
SKU_13,295.30687278350354,138233.146408246,371.7971845082289,-0.3858701258922985,Linear,2024-10-31 18:12:53
SKU_14,48.75920732225109,4014.623184953492,63.36105416542161,-0.0051479165865604415,Linear,2024-10-31 18:12:53
SKU_15,188.47612736299348,52102.93194428797,228.26066666048263,-0.2681793568689903,Linear,2024-10-31 18:12:53
SKU_01,128.46839331522278,23500.82992981423,153.29980407624214,0.166774835561035,Linear Multipla,2024-10-31 18:13:26
SKU_02,182.8957109973915,45057.05846760407,212.26647984927828,0.13928175136504772,Linear Multipla,2024-10-31 18:13:26
SKU_03,39.64368583577049,2186.1563623900142,46.75635103801423,0.22320484618956238,Linear Multipla,2024-10-31 18:13:26
SKU_04,26.52990662659729,1372.8310679195883,37.05173501901886,0.054495360991758,Linear Multipla,2024-10-31 18:13:26
SKU_05,412.88774402076587,280071.13577729615,529.2174749356791,-0.3118416146501328,Linear Multipla,2024-10-31 18:13:26
SKU_06,14.804331661379969,386.43993956517687,19.658075683168402,0.4502001337185386,Linear Multipla,2024-10-31 18:13:26
SKU_07,253.70731708993748,176691.28594095167,420.34662594215223,-0.2339679276734432,Linear Multipla,2024-10-31 18:13:26
SKU_08,23.80167459213641,1040.8900601877199,32.262827839290836,0.38064214004330543,Linear Multipla,2024-10-31 18:13:26
SKU_09,24.95568452908804,1265.5187052163158,35.57412971832643,0.5223313461333322,Linear Multipla,2024-10-31 18:13:26
SKU_10,6.7519954282029095,83.7363669612732,9.150757726072372,0.4756951389735693,Linear Multipla,2024-10-31 18:13:26
SKU_11,160.92607895296248,51738.89969592639,227.46186426723577,0.38586551845849326,Linear Multipla,2024-10-31 18:13:26
SKU_12,41.56008213677286,2711.13788406376,52.068588266475594,0.23144354595044503,Linear Multipla,2024-10-31 18:13:26
