unique_id,mae,mse,rmse,r2,model,datetime
SKU_02,143.07440476190476,46634.794642857145,215.95090794635976,0.09017948210841609,Naive Sazonal,2025-04-21 23:43:53
SKU_03,37.01488095238095,2937.7351190476193,54.200877474886134,-0.036825080485517914,Naive Sazonal,2025-04-21 23:43:53
SKU_04,19.50297619047619,877.3779761904761,29.620566776995947,0.21142790787761379,Naive Sazonal,2025-04-21 23:43:53
SKU_05,395.70535714285717,287627.79464285716,536.3094206172937,-0.4537671249111144,Naive Sazonal,2025-04-21 23:43:53
SKU_06,17.205357142857142,575.9970238095239,23.999937995951655,0.08239135272718434,Naive Sazonal,2025-04-21 23:43:53
SKU_07,252.48809523809524,165274.65476190476,406.5398563018204,-0.017372488015713783,Naive Sazonal,2025-04-21 23:43:53
SKU_08,37.336309523809526,2862.3125,53.5005841089609,-1.2161423036229655,Naive Sazonal,2025-04-21 23:43:53
SKU_09,36.11904761904762,2801.7321428571427,52.93139090234776,-0.05218174850707347,Naive Sazonal,2025-04-21 23:43:53
SKU_10,12.8125,291.26488095238096,17.066484141509083,-0.8039157298861854,Naive Sazonal,2025-04-21 23:43:53
SKU_11,212.8452380952381,100177.86309523809,316.5088673248162,-0.07895653939435032,Naive Sazonal,2025-04-21 23:43:53
SKU_12,47.11607142857143,4055.4494047619046,63.68241048171704,-0.2534062578101941,Naive Sazonal,2025-04-21 23:43:53
SKU_13,244.30654761904762,118387.35416666667,344.07463458771076,-0.14569397760806702,Naive Sazonal,2025-04-21 23:43:53
SKU_14,39.98809523809524,3995.3333333333335,63.20864919718925,-0.05294613368465573,Naive Sazonal,2025-04-21 23:43:53
SKU_15,193.86011904761904,78425.72321428571,280.04593054405507,-0.959044540981304,Naive Sazonal,2025-04-21 23:43:53
SKU_02,88.280698852865,18303.744002147087,135.29133010709552,0.6429035020970308,SARIMA,2025-04-21 23:43:53
SKU_03,21.257702395022232,1061.7022368441155,32.58377259993256,0.6252897342479191,SARIMA,2025-04-21 23:43:53
SKU_04,15.605606922352484,551.5611236391973,23.485338482534104,0.5042664381774835,SARIMA,2025-04-21 23:43:53
SKU_05,229.4065424831884,107218.19509958006,327.4418957610343,0.45808336283488493,SARIMA,2025-04-21 23:43:53
SKU_06,15.455351113281845,459.4001745268407,21.43362252459534,0.2681393214214388,SARIMA,2025-04-21 23:43:53
SKU_07,382.82911148350513,291361.5977911188,539.7792120776038,-0.793519242766004,SARIMA,2025-04-21 23:43:53
SKU_08,40.44239542132982,2485.1465544122398,49.85124426142481,-0.924121985260455,SARIMA,2025-04-21 23:43:53
SKU_09,43.98276929041679,2659.1311141191877,51.56676365760399,0.0013716220886607067,SARIMA,2025-04-21 23:43:53
SKU_10,7.998184340173799,115.96613914210303,10.768757548673062,0.28177697960499803,SARIMA,2025-04-21 23:43:53
SKU_11,163.39376315249817,57070.597231450345,238.89453160641904,0.38532633670300886,SARIMA,2025-04-21 23:43:53
SKU_12,27.27398095298612,1590.2810571113039,39.87832816344366,0.5084963391924393,SARIMA,2025-04-21 23:43:53
SKU_13,269.89656223102776,104243.2333264477,322.86720695426425,-0.008814205446030732,SARIMA,2025-04-21 23:43:53
SKU_14,33.43619299820705,3005.2158649748053,54.81984918781522,0.207993385805187,SARIMA,2025-04-21 23:43:53
SKU_15,167.4011591575253,41031.23771388986,202.56168866271298,-0.024944609480631152,SARIMA,2025-04-21 23:43:53
SKU_02,87.71408811184864,18118.286882707835,134.6041859776576,0.6465216737593509,ETS,2025-04-21 23:43:54
SKU_03,21.767409593548603,1053.4880862528048,32.45748120623048,0.6281887830058333,ETS,2025-04-21 23:43:54
SKU_04,14.918235694784471,470.5307332450658,21.691720384632145,0.5770951462287576,ETS,2025-04-21 23:43:54
SKU_05,264.4481847694652,129151.79939845852,359.37696002729297,0.34722358692167266,ETS,2025-04-21 23:43:54
SKU_06,14.121048223493144,391.92608875998786,19.79712324455217,0.37563085698007803,ETS,2025-04-21 23:43:54
SKU_07,288.70888913615124,137181.41997912916,370.38010202915757,0.15555955778729402,ETS,2025-04-21 23:43:54
SKU_08,40.6747293916414,2486.5059451530697,49.86487686892518,-0.9251744920457574,ETS,2025-04-21 23:43:54
SKU_09,25.682681613757673,1250.0382003524799,35.35587928976565,0.5305520612665606,ETS,2025-04-21 23:43:54
SKU_10,10.247339669865783,182.83125522471255,13.52151083365733,-0.13234446987316661,ETS,2025-04-21 23:43:54
SKU_11,177.53262751086382,68655.17479868911,262.02132508383573,0.2605557003957596,ETS,2025-04-21 23:43:54
SKU_12,25.608795088452347,1460.0047042957224,38.21000790755902,0.5487604824639605,ETS,2025-04-21 23:43:54
SKU_13,190.94650253361692,67947.04480898635,260.66653948864695,0.3424422685861518,ETS,2025-04-21 23:43:54
SKU_14,30.828277519356,2659.913836894967,51.574352510671105,0.29899566398476385,ETS,2025-04-21 23:43:54
SKU_15,105.40537065834948,22998.96332031056,151.6540910107952,0.4254947013013146,ETS,2025-04-21 23:43:54
SKU_02,99.46428571428571,22295.535714285714,149.31689694835515,0.5650257279872317,Decision Tree,2025-04-22 13:47:01
SKU_03,26.982142857142858,1344.1785714285713,36.66304094627956,0.5255943783113598,Decision Tree,2025-04-22 13:47:01
SKU_04,17.327380952380953,608.1904761904761,24.661518124204683,0.4533689592929627,Decision Tree,2025-04-22 13:47:01
SKU_05,196.03571428571428,84783.63095238095,291.1762884446138,0.5714751574610082,Decision Tree,2025-04-22 13:47:01
SKU_06,16.196428571428573,495.9642857142857,22.270255627502028,0.20988981106192117,Decision Tree,2025-04-22 13:47:01
SKU_07,203.96428571428572,115609.30357142857,340.0136814474214,0.28834989864798855,Decision Tree,2025-04-22 13:47:01
SKU_08,31.913690476190474,1847.0982142857142,42.97788052342407,-0.4301137599842815,Decision Tree,2025-04-22 13:47:01
SKU_09,27.342261904761905,1487.4255952380952,38.56715695041696,0.44140196715029323,Decision Tree,2025-04-22 13:47:01
SKU_10,10.273809523809524,191.05357142857142,13.822212971466307,-0.1832684449426636,Decision Tree,2025-04-22 13:47:01
SKU_11,178.8125,73980.02083333333,271.9926852570365,0.2032049317445509,Decision Tree,2025-04-22 13:47:01
SKU_12,37.49107142857143,2159.1041666666665,46.46616152284011,0.3326917922865944,Decision Tree,2025-04-22 13:47:01
SKU_13,192.38988095238096,70028.62202380953,264.62921611910036,0.3222977988010456,Decision Tree,2025-04-22 13:47:01
SKU_14,33.523809523809526,2785.1011904761904,52.77405793073137,0.2660032878944343,Decision Tree,2025-04-22 13:47:01
SKU_15,128.89880952380952,33297.11309523809,182.47496566717882,0.168250862520817,Decision Tree,2025-04-22 13:47:01
SKU_02,78.82274712267376,12935.674430276002,113.73510641080001,0.7476317393576588,XGBoost,2025-04-22 14:46:53
SKU_03,18.938153190272196,733.8322531714665,27.089338367178083,0.7410060287518244,XGBoost,2025-04-22 14:46:53
SKU_04,13.26311456376598,359.38486767583953,18.957448870452996,0.6769911205079779,XGBoost,2025-04-22 14:46:53
SKU_05,179.55637984048752,65054.76625950618,255.05835853683794,0.6711914416189211,XGBoost,2025-04-22 14:46:53
SKU_06,15.376219002973466,408.53697280247366,20.2122975636733,0.3491684097691157,XGBoost,2025-04-22 14:46:53
SKU_07,239.74894137609573,119283.89357164579,345.37500426586433,0.26573041850843393,XGBoost,2025-04-22 14:46:53
SKU_08,30.89924476863373,1498.0950192975617,38.705232453733714,-0.15989842028506285,XGBoost,2025-04-22 14:46:53
SKU_09,20.85143285422098,940.8621134105124,30.673475730841336,0.6466621742852274,XGBoost,2025-04-22 14:46:53
SKU_10,7.923348080544245,99.58047060027823,9.979001483128371,0.38325974378394323,XGBoost,2025-04-22 14:46:53
SKU_11,160.1970476422991,49961.41894294071,223.52051123541372,0.4618950931838248,XGBoost,2025-04-22 14:46:53
SKU_12,27.039790295419238,1176.0769661454444,34.29397856979333,0.6365132240825793,XGBoost,2025-04-22 14:46:53
SKU_13,209.18013777051652,78496.64082594351,280.1725197551386,0.2403485212606541,XGBoost,2025-04-22 14:46:53
SKU_14,28.05096761243684,2367.2915695969177,48.654820620334405,0.37611450721391093,XGBoost,2025-04-22 14:46:53
SKU_15,102.82581295285907,20339.436130285354,142.6163950262569,0.49192867232092974,XGBoost,2025-04-22 14:46:53
SKU_02,72.48889966107565,11325.230934050076,106.42006828624983,0.779050651931252,Random Forest,2025-04-22 14:47:03
SKU_03,19.641531530225727,751.0388902920461,27.405088766359544,0.734933230424379,Random Forest,2025-04-22 14:47:03
SKU_04,12.840535579451196,347.6022073348493,18.64409309499524,0.6875811710540438,Random Forest,2025-04-22 14:47:03
SKU_05,223.80321601081198,98107.91235497028,313.2218261152474,0.504129780460149,Random Forest,2025-04-22 14:47:03
SKU_06,14.204821803900762,366.96486355017487,19.156326984841716,0.4153960556742695,Random Forest,2025-04-22 14:47:03
SKU_07,205.5818673911815,110946.64782621207,333.0865470507809,0.31705156305688065,Random Forest,2025-04-22 14:47:03
SKU_08,34.01343069236106,1825.2646819847987,42.72311648258819,-0.4132091716244928,Random Forest,2025-04-22 14:47:03
SKU_09,18.911904713364045,854.4133264637182,29.23034940714391,0.6791277459987441,Random Forest,2025-04-22 14:47:03
SKU_10,7.592690658256025,96.95595061360336,9.846621279078594,0.3995144081701295,Random Forest,2025-04-22 14:47:03
SKU_11,147.00080802907698,51829.30290937916,227.66049922939897,0.44177721925290825,Random Forest,2025-04-22 14:47:03
SKU_12,26.018541666666664,1084.3256574404763,32.92910046509738,0.6648705411182811,Random Forest,2025-04-22 14:47:03
SKU_13,179.74004237712003,61220.01192955249,247.4267809465105,0.40754314959991844,Random Forest,2025-04-22 14:47:03
SKU_14,28.346193625810468,2346.028717968512,48.43582060798095,0.3817182042137208,Random Forest,2025-04-22 14:47:03
SKU_15,97.78608023488202,20056.77313158149,141.6219373246302,0.49898948581238056,Random Forest,2025-04-22 14:47:03
