,unique_id,ds,y,y_pred
0,SKU_02,2023-09-21,338.0,521.2361441471652
1,SKU_02,2023-09-22,302.0,486.8558197856255
2,SKU_02,2023-09-23,71.0,76.2158233636678
3,SKU_02,2023-09-24,49.0,68.58656754770904
4,SKU_02,2023-09-25,422.0,529.3372568090889
5,SKU_02,2023-09-26,472.0,564.8532123150422
6,SKU_02,2023-09-27,459.0,499.8887768007322
7,SKU_02,2023-09-28,350.0,497.92903724938674
8,SKU_02,2023-09-29,371.0,493.8069644301925
9,SKU_02,2023-09-30,60.0,72.54851029429538
10,SKU_02,2023-10-01,35.0,74.98926903725365
11,SKU_02,2023-10-02,396.0,623.4194076956934
12,SKU_02,2023-10-03,546.0,620.2185597380955
13,SKU_02,2023-10-04,516.0,611.3679572358759
14,SKU_02,2023-10-05,673.0,636.8467403556274
15,SKU_02,2023-10-06,335.0,595.737410420558
16,SKU_02,2023-10-07,90.0,83.41651039711049
17,SKU_02,2023-10-08,66.0,80.13469600187506
18,SKU_02,2023-10-09,564.0,615.2680608409926
19,SKU_02,2023-10-10,524.0,608.8456548324976
20,SKU_02,2023-10-11,431.0,514.8389293546965
21,SKU_02,2023-10-12,39.0,473.6053328806583
22,SKU_02,2023-10-13,336.0,521.8376262048578
23,SKU_02,2023-10-14,75.0,85.05186411109604
24,SKU_02,2023-10-15,94.0,81.07813019157085
25,SKU_02,2023-10-16,553.0,577.2326132383026
26,SKU_02,2023-10-17,526.0,570.7406219779289
27,SKU_02,2023-10-18,579.0,568.5239325736068
28,SKU_02,2023-10-19,528.0,532.9183392880718
29,SKU_02,2023-10-20,468.0,553.9743300352351
30,SKU_02,2023-10-21,91.0,81.80711085388272
31,SKU_02,2023-10-22,121.0,78.5895855468371
32,SKU_02,2023-10-23,585.0,571.7047793771735
33,SKU_02,2023-10-24,627.0,574.018372515256
34,SKU_02,2023-10-25,544.0,565.6920842841769
35,SKU_02,2023-10-26,438.0,536.35455148684
36,SKU_02,2023-10-27,452.0,554.2156577073214
37,SKU_02,2023-10-28,95.0,80.35239959179542
