,unique_id,ds,y,y_pred
116,SKU_02,2024-01-15,854.0,518.59985
117,SKU_02,2024-01-16,573.0,519.0972
118,SKU_02,2024-01-17,700.0,530.40497
119,SKU_02,2024-01-18,522.0,545.7384
120,SKU_02,2024-01-19,481.0,478.67972
121,SKU_02,2024-01-20,99.0,58.511383
122,SKU_02,2024-01-21,85.0,73.348946
123,SKU_02,2024-01-22,573.0,458.2274
124,SKU_02,2024-01-23,511.0,432.25427
125,SKU_02,2024-01-24,413.0,441.61053
126,SKU_02,2024-01-25,577.0,486.85382
127,SKU_02,2024-01-26,625.0,425.12204
128,SKU_02,2024-01-27,262.0,173.61446
129,SKU_02,2024-01-28,125.0,129.45331
130,SKU_02,2024-01-29,686.0,489.33237
131,SKU_02,2024-01-30,537.0,511.9547
132,SKU_02,2024-01-31,548.0,472.73047
133,SKU_02,2024-02-01,559.0,609.26935
134,SKU_02,2024-02-02,491.0,509.18707
135,SKU_02,2024-02-03,135.0,78.44486
136,SKU_02,2024-02-04,120.0,74.05579
137,SKU_02,2024-02-05,622.0,583.217
138,SKU_02,2024-02-06,597.0,576.2321
139,SKU_02,2024-02-07,547.0,555.96674
140,SKU_02,2024-02-08,522.0,475.6303
141,SKU_02,2024-02-09,421.0,451.40695
142,SKU_02,2024-02-10,72.0,72.31709
143,SKU_02,2024-02-11,25.0,72.4361
144,SKU_02,2024-02-12,141.0,548.2105
145,SKU_02,2024-02-13,189.0,486.64096
146,SKU_02,2024-02-14,420.0,471.04755
147,SKU_02,2024-02-15,438.0,390.41663
148,SKU_02,2024-02-16,405.0,431.1945
149,SKU_02,2024-02-17,86.0,65.26883
150,SKU_02,2024-02-18,73.0,57.417217
151,SKU_02,2024-02-19,524.0,404.18094
152,SKU_02,2024-02-20,708.0,451.34497
153,SKU_02,2024-02-21,575.0,390.1908
154,SKU_02,2024-02-22,549.0,425.18643
155,SKU_02,2024-02-23,469.0,410.81113
156,SKU_02,2024-02-24,130.0,66.76124
157,SKU_02,2024-02-25,88.0,66.90053
158,SKU_02,2024-02-26,548.0,472.10922
159,SKU_02,2024-02-27,590.0,460.43414
160,SKU_02,2024-02-28,560.0,491.48752
161,SKU_02,2024-02-29,480.0,495.51492
162,SKU_02,2024-03-01,588.0,520.5867
163,SKU_02,2024-03-02,93.0,100.14153
164,SKU_02,2024-03-03,100.0,94.70332
165,SKU_02,2024-03-04,942.0,597.1675
166,SKU_02,2024-03-05,578.0,589.8669
167,SKU_02,2024-03-06,535.0,564.7908
168,SKU_02,2024-03-07,746.0,576.14984
169,SKU_02,2024-03-08,663.0,477.66522
170,SKU_02,2024-03-09,72.0,78.27513
171,SKU_02,2024-03-10,82.0,85.11549
172,SKU_02,2024-03-11,524.0,635.9111
173,SKU_02,2024-03-12,550.0,580.85895
174,SKU_02,2024-03-13,546.0,584.73517
175,SKU_02,2024-03-14,506.0,581.1395
176,SKU_02,2024-03-15,462.0,467.61588
177,SKU_02,2024-03-16,100.0,88.5078
178,SKU_02,2024-03-17,74.0,83.90985
179,SKU_02,2024-03-18,441.0,536.31177
180,SKU_02,2024-03-19,415.0,484.45837
181,SKU_02,2024-03-20,381.0,485.87646
182,SKU_02,2024-03-21,346.0,501.51312
183,SKU_02,2024-03-22,467.0,415.29282
184,SKU_02,2024-03-23,75.0,67.97817
185,SKU_02,2024-03-24,71.0,63.982647
186,SKU_02,2024-03-25,500.0,508.96753
187,SKU_02,2024-03-26,421.0,479.14203
188,SKU_02,2024-03-27,491.0,480.29163
